City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Meulaboh,ID,4.1363,96.1285,297.83,87,79,1.02,1618441028
Mossamedes,AO,-15.1961,12.1522,300.19,73,48,0.58,1618440772
Kununurra,AU,-15.7667,128.7333,291.15,94,54,0.92,1618441028
Vodnyy,RU,63.5046,53.4095,275.81,92,88,3.23,1618441029
Hilo,US,19.7297,-155.09,300.15,54,40,5.66,1618440805
Rikitea,PF,-23.1203,-134.9692,298.79,69,8,2.46,1618441029
Port Alfred,ZA,-33.5906,26.891,293.33,79,85,2.7,1618440851
Ushuaia,AR,-54.8,-68.3,279.15,75,75,5.66,1618440939
Sitka,US,57.0531,-135.33,280.15,76,90,2.57,1618441030
Mataura,NZ,-46.1927,168.8643,287.59,86,67,3.13,1618441030
Alofi,NU,-19.0595,-169.9187,300.15,69,40,2.57,1618441031
Athabasca,CA,54.7169,-113.2854,288.15,20,67,4.12,1618441031
Znamenskoye,RU,57.1281,73.8282,277.82,99,96,2.47,1618441031
Ubari,LY,26.5921,12.7805,296.27,23,58,4.96,1618441032
Hermanus,ZA,-34.4187,19.2345,291.48,88,18,2.24,1618441032
Hammerfest,NO,70.6634,23.6821,272.15,59,75,1.03,1618441032
Bulembu,SZ,-25.9667,31.1333,292.15,68,3,1.61,1618441033
Santa Teresa del Tuy,VE,10.2341,-66.6631,303.15,70,40,4.63,1618441033
Ostrovnoy,RU,68.0531,39.5131,271.25,81,77,12.69,1618441033
Punta Arenas,CL,-53.15,-70.9167,278.15,81,0,9.77,1618441034
Busselton,AU,-33.65,115.3333,289.3,69,99,1.37,1618441034
Zhigansk,RU,66.7697,123.3711,265.66,91,100,3.85,1618441034
Tuktoyaktuk,CA,69.4541,-133.0374,268.15,86,90,2.06,1618441035
Vaini,TO,-21.2,-175.2,299.15,73,40,3.09,1618441035
Port Hardy,CA,50.6996,-127.4199,285.15,58,40,5.14,1618441035
Khatanga,RU,71.9667,102.5,247.3,97,43,3.84,1618441036
Biltine,TD,14.5333,20.9167,299.34,8,11,5.05,1618441036
Usvyaty,RU,55.7456,30.7533,278.27,95,100,3.54,1618441036
Christchurch,NZ,-43.5333,172.6333,289.82,77,40,5.66,1618440379
Carnarvon,AU,-24.8667,113.6333,295.89,43,0,8.3,1618441037
Lashio,MM,22.9333,97.75,290.83,33,87,0.23,1618441037
Yar-Sale,RU,66.8333,70.8333,275.29,100,100,5.8,1618441038
Araouane,ML,18.9048,-3.5265,306.11,8,2,4.26,1618441038
Atuona,PF,-9.8,-139.0333,300.36,74,66,8.69,1618441038
Bredasdorp,ZA,-34.5322,20.0403,286.15,94,0,1.54,1618441039
Arraial do Cabo,BR,-22.9661,-42.0278,296.15,68,40,2.06,1618441039
Rome,US,43.2128,-75.4557,292.15,27,75,2.06,1618440883
Chui,UY,-33.6971,-53.4616,290.05,83,0,3.83,1618441040
Narrabri,AU,-30.3167,149.7833,293.15,63,40,2.04,1618441040
Westport,US,41.1415,-73.3579,288.15,76,40,5.14,1618441040
Abalak,RU,58.1286,68.5944,278.91,95,27,2.59,1618441041
Barrow,US,71.2906,-156.7887,264.15,73,75,5.14,1618440895
Pisco,PE,-13.7,-76.2167,294.15,73,0,5.66,1618440877
Zyryanka,RU,65.75,150.85,257.17,89,87,2.37,1618441042
Dorado,PR,18.4588,-66.2677,299.82,73,75,2.57,1618441042
Bethel,US,41.3712,-73.414,293.15,40,90,3.6,1618441042
Castro,BR,-24.7911,-50.0119,287.59,78,99,3.4,1618441043
New Norfolk,AU,-42.7826,147.0587,287.04,80,96,1.34,1618441043
Lais,PH,6.3328,125.6464,300.13,80,100,1.95,1618441044
Howard Springs,AU,-12.497,131.047,298.15,94,75,1.54,1618441044
Deputatsky,RU,69.3,139.9,252.6,100,100,1.6,1618441044
Bowen,AU,-20.0167,148.2333,296.15,78,75,2.57,1618441045
Bluff,NZ,-46.6,168.3333,287.59,86,60,3.13,1618441045
Codrington,AU,-38.2667,141.9667,287.26,73,79,6.07,1618441045
Hambantota,LK,6.1241,81.1185,299.32,81,100,2.35,1618441046
Laas,IT,46.6166,10.7002,275.93,63,0,3.09,1618441046
Samaná,DO,19.2056,-69.3369,300.15,83,20,3.09,1618440879
Paamiut,GL,61.994,-49.6678,269.96,82,90,11.69,1618441046
Grindavik,IS,63.8424,-22.4338,279.15,93,75,6.69,1618441047
Butaritari,KI,3.0707,172.7902,300.69,78,83,3.87,1618441047
Saint-Philippe,RE,-21.3585,55.7679,298.15,78,75,2.57,1618441047
San Quintín,MX,30.4833,-115.95,289.51,58,87,8.0,1618441048
Parola,IN,20.8833,75.1167,299.08,43,0,1.84,1618441048
Chokurdakh,RU,70.6333,147.9167,256.57,89,74,2.23,1618441049
Gharghoda,IN,22.1667,83.35,296.95,42,87,2.35,1618441049
Conde,BR,-7.2597,-34.9075,299.15,100,20,2.57,1618441049
Shimoda,JP,34.6667,138.95,283.71,66,99,1.79,1618441050
George Town,MY,5.4112,100.3354,299.15,88,20,1.03,1618440845
Tolmachëvo,RU,54.9824,82.7363,273.15,93,100,2.0,1618441050
Vila Franca do Campo,PT,37.7167,-25.4333,289.15,77,20,0.51,1618441051
Kieta,PG,-6.2167,155.6333,300.97,78,87,1.73,1618441051
Dongsheng,CN,39.8161,109.9776,279.93,21,0,11.34,1618441051
Inírida,CO,3.8653,-67.9239,295.78,99,100,1.12,1618441052
Hobart,AU,-42.8794,147.3294,287.15,51,40,7.72,1618440960
Maltahöhe,NA,-24.8333,16.9833,291.1,26,0,3.89,1618441052
Ukiah,US,39.1502,-123.2078,294.15,26,20,6.17,1618440865
Aranos,NA,-24.1333,19.1167,293.54,28,0,3.79,1618441053
Tadine,NC,-21.55,167.8833,299.04,83,93,6.77,1618441053
Cape Town,ZA,-33.9258,18.4232,291.48,94,0,5.66,1618440756
Thompson,CA,55.7435,-97.8558,276.15,25,40,1.54,1618441053
Norrtälje,SE,59.758,18.705,275.37,86,0,1.03,1618441054
Tarumã,BR,-22.7467,-50.5772,293.76,50,0,2.88,1618441054
Dingle,PH,10.9995,122.6711,299.03,84,100,2.38,1618441054
Lanzhou,CN,36.0564,103.7922,283.15,53,100,4.06,1618441055
Nikolskoye,RU,59.7035,30.7861,277.04,69,0,2.0,1618441055
Soller,ES,39.7662,2.7152,287.04,75,100,1.3,1618441056
Denpasar,ID,-8.65,115.2167,299.15,94,40,1.54,1618440953
Albany,US,42.6001,-73.9662,292.15,34,90,1.54,1618441032
Mehamn,NO,71.0357,27.8492,272.33,66,100,11.19,1618441056
Airai,TL,-8.9266,125.4092,289.02,63,42,0.86,1618441057
São Filipe,CV,14.8961,-24.4956,298.27,55,42,6.12,1618441057
Balaipungut,ID,1.05,101.2833,298.15,94,40,1.02,1618441057
Constitución,CL,-35.3333,-72.4167,287.16,89,25,5.41,1618440956
Mar del Plata,AR,-38.0023,-57.5575,293.15,72,0,2.06,1618441058
Iqaluit,CA,63.7506,-68.5145,258.15,66,1,11.83,1618440893
Viranşehir,TR,37.2353,39.7631,282.95,48,18,3.5,1618440916
Port Elizabeth,ZA,-33.918,25.5701,290.15,94,40,2.06,1618441058
Pangnirtung,CA,66.1451,-65.7125,261.15,79,75,3.6,1618441059
Khuzhir,RU,53.1939,107.3397,269.25,85,90,2.61,1618441059
Kapaa,US,22.0752,-159.319,299.15,61,40,6.17,1618441060
Tigil',RU,57.8,158.6667,273.1,99,100,4.61,1618441061
Matara,LK,5.9485,80.5353,298.27,86,100,0.6,1618441061
Rockland,US,41.1668,-74.0496,291.15,45,75,3.6,1618441062
Rabo de Peixe,PT,37.8,-25.5833,289.15,77,20,0.51,1618441062
Klaksvík,FO,62.2266,-6.589,280.15,100,75,6.17,1618441062
Vasylivka,UA,47.4369,35.2742,280.15,87,0,2.0,1618441063
Poso,ID,-1.3959,120.7524,298.15,83,93,1.99,1618441063
Kismayo,SO,-0.3582,42.5454,300.96,78,90,5.37,1618441063
Fort Nelson,CA,58.8053,-122.7002,287.15,28,20,2.57,1618440871
Provideniya,RU,64.3833,-173.3,266.15,68,0,3.0,1618441064
Puerto Ayora,EC,-0.7393,-90.3518,300.15,78,20,6.17,1618441064
Qaanaaq,GL,77.484,-69.3632,249.4,72,0,2.07,1618441065
Calamar,CO,10.2511,-74.9146,304.15,74,75,4.63,1618440886
Avarua,CK,-21.2078,-159.775,302.15,70,20,3.09,1618441065
Montepuez,MZ,-13.1256,38.9997,292.2,97,100,2.7,1618441065
Okhotsk,RU,59.3833,143.3,267.89,69,96,4.08,1618441066
Conceição da Barra,BR,-18.5933,-39.7322,296.57,71,50,3.95,1618441066
Kiryat Gat,IL,31.61,34.7642,288.15,64,97,1.79,1618441066
Jamestown,US,42.097,-79.2353,284.82,40,1,6.69,1618441067
Cairns,AU,-16.9167,145.7667,300.37,69,13,3.6,1618441067
Qui Nhon,VN,13.7667,109.2333,296.86,85,15,1.58,1618441068
Zabid,YE,14.1951,43.3152,299.02,81,1,1.97,1618441068
Grand Gaube,MU,-20.0064,57.6608,297.59,85,81,0.89,1618441068
Oktyabr'skiy,RU,54.4815,53.471,279.96,83,6,1.58,1618441069
Biak,ID,-0.9131,122.8766,297.65,86,99,1.78,1618441069
Mayo,US,38.8876,-76.5119,287.59,94,90,2.06,1618441069
Ponta do Sol,PT,32.6667,-17.1,291.15,72,20,3.09,1618441070
Abhā,SA,18.2164,42.5053,292.15,52,0,1.54,1618441070
Ancud,CL,-41.8697,-73.8203,284.26,82,56,3.13,1618441070
Cobija,BO,-11.0267,-68.7692,298.97,77,87,1.25,1618441071
Ilovlya,RU,49.3033,43.9796,283.15,71,0,5.0,1618441071
Sargatskoye,RU,55.6101,73.4972,276.66,97,90,3.8,1618441071
Hong Kong,HK,22.2855,114.1577,295.93,92,98,9.89,1618440844
Iskateley,RU,67.6803,53.1512,270.41,86,34,8.87,1618441072
Severo-Kuril'sk,RU,50.6789,156.125,277.22,92,100,9.93,1618441073
Tasiilaq,GL,65.6145,-37.6368,274.15,86,90,4.12,1618441073
Tiksi,RU,71.6872,128.8694,259.11,94,95,0.78,1618441073
Hamada,JP,34.8833,132.0833,282.04,12,63,1.68,1618441073
Lavrentiya,RU,65.5833,-171.0,271.29,94,100,0.49,1618440989
Mahébourg,MU,-20.4081,57.7,299.15,83,40,4.12,1618441074
Kungurtug,RU,50.5994,97.5228,268.87,89,100,1.93,1618441074
Natalio,PY,-26.7167,-55.0833,295.68,79,40,1.34,1618441075
Maslovare,BA,44.5656,17.5336,274.15,86,0,1.03,1618441075
Yellowknife,CA,62.456,-114.3525,278.15,38,1,3.6,1618441012
Cayenne,GF,4.9333,-52.3333,301.15,83,75,1.54,1618441076
Lebu,CL,-37.6167,-73.65,286.86,93,60,1.77,1618441076
Lantawan,PH,10.6167,123.9833,299.15,83,75,0.51,1618441076
San Patricio,US,28.017,-97.5169,305.15,62,75,6.17,1618441077
Kambove,CD,-10.8764,26.5969,288.06,97,98,1.64,1618441077
Tres Arroyos,AR,-38.3739,-60.2798,288.56,74,0,4.38,1618441077
Kamenka,RU,51.3223,42.7678,280.93,58,49,3.85,1618441078
Nola,IT,40.922,14.5329,282.59,62,33,2.59,1618441078
Iquitos,PE,-3.7481,-73.2472,301.15,78,40,1.54,1618441078
Częstochowa,PL,50.7965,19.1241,274.82,93,90,2.57,1618441079
Domoni,KM,-12.2569,44.5319,299.22,79,100,1.84,1618441079
Bol,TD,13.4586,14.7147,300.76,34,3,5.8,1618441079
Rognan,NO,67.0953,15.3878,277.15,81,75,12.35,1618441080
Cidreira,BR,-30.1811,-50.2056,295.17,66,31,7.84,1618441080
Podosinovets,RU,60.2776,47.0659,283.09,88,99,2.82,1618441081
Ocós,GT,14.5094,-92.1933,305.15,55,75,5.14,1618441081
Pathein,MM,16.7833,94.7333,298.72,79,97,1.82,1618441082
Tanabe,JP,33.7333,135.3667,282.15,46,0,3.6,1618441082
Khovd,MN,48.0056,91.6419,274.14,33,100,1.52,1618441082
Launceston,AU,-41.45,147.1667,287.04,67,98,7.72,1618441083
Luganville,VU,-15.5333,167.1667,302.31,73,46,3.33,1618441083
Raudeberg,NO,61.9875,5.1352,278.15,83,21,2.78,1618441084
Baykit,RU,61.67,96.37,262.88,97,81,1.34,1618441084
Mallaig,CA,54.2169,-111.3685,285.15,16,100,4.12,1618441084
Hermiston,US,45.8404,-119.2895,292.15,20,1,6.69,1618441085
Abilene,US,32.4487,-99.7331,286.15,88,90,6.17,1618441085
Fortuna,US,40.5982,-124.1573,289.15,41,1,8.75,1618441085
Kloulklubed,PW,7.0419,134.2556,298.15,88,90,5.14,1618441086
Yankton,US,42.8711,-97.3973,283.71,46,40,7.72,1618441086
Bambous Virieux,MU,-20.3428,57.7575,299.15,83,40,4.12,1618440907
Balabac,PH,7.9868,117.0645,299.92,80,15,2.81,1618441086
Hithadhoo,MV,-0.6,73.0833,300.83,67,41,1.11,1618441087
Mezen',RU,65.8522,44.24,272.79,80,23,5.61,1618441087
Cabo San Lucas,MX,22.8909,-109.9124,303.15,26,1,1.54,1618441088
Farafangana,MG,-22.8167,47.8333,296.09,90,71,1.06,1618441088
Egvekinot,RU,66.3167,-179.1667,262.48,76,18,0.84,1618441088
Ilulissat,GL,69.2167,-51.1,265.15,62,75,7.72,1618441089
Lodja,CD,-3.4833,23.4333,292.72,98,90,1.05,1618441089
Rodrigues Alves,BR,-7.738,-72.6509,303.15,66,20,2.06,1618441089
Camaná,PE,-16.6228,-72.7111,293.82,82,48,2.92,1618441090
Gobabis,NA,-22.45,18.9667,289.45,36,0,4.53,1618441090
Hualmay,PE,-11.0964,-77.6139,293.27,82,85,3.14,1618441090
La Ronge,CA,55.1001,-105.2842,281.15,25,100,2.06,1618441091
Kahului,US,20.8947,-156.47,300.15,54,40,9.77,1618440815
Tromsø,NO,69.6496,18.957,273.15,100,90,6.17,1618441091
Kaitangata,NZ,-46.2817,169.8464,289.82,84,89,2.68,1618441092
Adrar,MR,20.5022,-10.0711,299.16,18,40,5.19,1618441092
Kudahuvadhoo,MV,2.6708,72.8944,301.13,65,63,4.37,1618441092
Zhezkazgan,KZ,47.8043,67.7144,281.39,56,0,6.3,1618441093
Ribeira Grande,PT,38.5167,-28.7,289.79,88,84,3.21,1618441093
Lengshuijiang,CN,27.6881,111.4294,286.78,95,100,0.77,1618441093
Hay River,CA,60.8156,-115.7999,280.15,33,93,1.54,1618441094
Guerrero Negro,MX,27.9769,-114.0611,290.97,60,71,8.56,1618441094
Pacific Grove,US,36.6177,-121.9166,291.48,51,20,5.66,1618440960
Krosno Odrzańskie,PL,52.0549,15.0988,275.93,43,100,2.51,1618441095
Saint-Augustin,CA,51.226,-58.6502,276.79,58,0,1.78,1618441014
Dhārchula,IN,29.85,80.5333,289.06,31,28,3.75,1618441095
Rundu,NA,-17.9333,19.7667,290.81,49,39,2.5,1618441095
Muros,ES,42.7762,-9.0603,289.82,60,39,3.13,1618441096
Kez,RU,57.8979,53.7152,279.18,94,14,2.03,1618441096
Longyearbyen,SJ,78.2186,15.6401,259.15,56,40,5.66,1618441097
Laguna,US,38.421,-121.4238,297.04,21,1,2.57,1618441097
Itapirapuã,BR,-15.8233,-50.6133,296.5,62,87,1.83,1618441097
Tual,ID,-5.6667,132.75,301.18,72,60,4.32,1618441098
Kalabo,ZM,-14.97,22.6814,291.51,82,86,2.69,1618441098
Monroe,US,43.1501,-77.6831,286.15,54,75,4.12,1618441099
Pitimbu,BR,-7.4706,-34.8086,299.15,100,20,2.57,1618441099
Pīpār,IN,26.3856,73.5378,297.33,29,4,1.06,1618441099
Polson,US,47.6936,-114.1632,284.26,47,52,8.05,1618441100
Tarakan,ID,3.3,117.6333,297.85,84,100,3.07,1618440904
Tilichiki,RU,60.4667,166.1,264.37,84,100,3.39,1618441100
Maniitsoq,GL,65.4167,-52.9,268.19,90,86,9.31,1618441101
Upernavik,GL,72.7868,-56.1549,251.21,96,98,2.63,1618441101
Malakanagiri,IN,18.35,81.9,297.47,58,93,0.42,1618441101
Talnakh,RU,69.4865,88.3972,258.02,91,100,3.46,1618441102
Batagay-Alyta,RU,67.8006,130.4114,256.72,86,26,1.29,1618441102
Ginir,ET,7.1333,40.7,287.8,70,37,2.71,1618441102
Geraldton,AU,-28.7667,114.6,287.15,72,0,4.63,1618441103
Koceljeva,RS,44.4736,19.8117,277.15,93,40,5.66,1618441103
Touros,BR,-5.1989,-35.4608,300.15,83,20,2.06,1618441103
Kingaroy,AU,-26.5333,151.8333,286.15,100,0,0.98,1618441104
Urucará,BR,-2.5364,-57.76,297.65,95,68,0.4,1618441104
Doha,QA,25.2867,51.5333,300.15,50,0,6.17,1618441094
Ibrā’,OM,22.6906,58.5334,297.33,38,38,1.07,1618441105
Yulara,AU,-25.2406,130.9889,291.15,55,90,3.6,1618441106
East London,ZA,-33.0153,27.9116,294.79,75,80,2.53,1618441106
Nemuro,JP,43.3236,145.575,275.45,63,58,3.78,1618441106
Henties Bay,NA,-22.116,14.2845,300.37,30,0,1.34,1618441107
Warrenton,ZA,-28.114,24.8475,294.36,30,57,2.69,1618441107
Lapua,FI,62.9693,23.0088,272.04,87,9,1.47,1618441108
Āmli,IN,20.2833,73.0167,300.09,41,0,1.99,1618441108
Berlevåg,NO,70.8578,29.0864,273.04,75,98,13.64,1618441108
Kysyl-Syr,RU,63.8986,122.7617,267.94,95,100,1.77,1618441109
Sittwe,MM,20.15,92.9,299.04,83,98,1.16,1618440832
Esperance,AU,-33.8667,121.9,286.15,100,18,3.09,1618441109
Polyarny,RU,69.1989,33.4478,271.15,64,0,6.0,1618441110
Hirara,JP,24.8,125.2833,294.15,88,75,6.69,1618441110
Honiara,SB,-9.4333,159.95,302.31,71,66,1.62,1618440915
Simão Dias,BR,-10.7383,-37.8111,295.94,87,89,4.65,1618441110
Umm Kaddadah,SD,13.6017,26.6876,296.4,10,0,5.87,1618441111
Havelock,US,34.8791,-76.9013,292.59,73,35,1.79,1618441111
Vryburg,ZA,-26.9566,24.7284,294.68,31,53,3.02,1618441112
Anadyr,RU,64.75,177.4833,260.15,66,20,3.0,1618441112
Bengkulu,ID,-3.8004,102.2655,296.71,88,78,1.81,1618441112
Indore,IN,22.7179,75.8333,298.54,37,54,2.27,1618441113
Misratah,LY,32.3754,15.0925,288.83,70,100,3.05,1618441113
Rawson,AR,-43.3002,-65.1023,292.67,52,42,4.0,1618441113
Kondrovo,RU,54.8064,35.9278,284.15,54,100,1.0,1618441114
Khandyga,RU,62.6667,135.6,258.11,86,54,0.47,1618441114
Saint-Pierre,RE,-21.3393,55.4781,298.15,78,75,2.57,1618441114
Charagua,BO,-19.8,-63.2167,299.34,44,45,3.79,1618441115
Buenaventura,CO,3.8801,-77.0312,298.58,91,100,1.26,1618441115
Itoman,JP,26.1247,127.6694,293.15,73,75,3.09,1618441115
Cukai,MY,4.25,103.4167,296.15,94,73,1.71,1618441116
Skjervøy,NO,70.0311,20.9714,272.0,90,100,6.69,1618441116
Cockburn Town,TC,21.4612,-71.1419,297.15,60,20,6.17,1618441116
Pemba,MZ,-12.974,40.5178,295.15,88,40,1.54,1618440907
Lorengau,PG,-2.0226,147.2712,301.98,68,57,2.78,1618441117
Cherskiy,RU,68.75,161.3,261.69,69,38,1.82,1618441117
Babushkin,RU,51.7122,105.8647,269.9,84,99,2.75,1618441118
Nanortalik,GL,60.1432,-45.2371,273.69,89,23,5.37,1618441118
Saskylakh,RU,71.9167,114.0833,252.01,99,71,1.67,1618441118
Lima,PE,-12.0432,-77.0282,294.15,73,0,2.57,1618440730
Sola,VU,-13.8833,167.55,301.4,68,60,5.89,1618441119
Okha,RU,53.5739,142.9478,267.72,90,100,10.84,1618441119
Yershichi,RU,53.6725,32.7542,282.64,90,100,2.29,1618441120
Fairbanks,US,64.8378,-147.7164,282.15,42,75,4.12,1618440846
College,US,64.8569,-147.8028,282.15,40,75,4.63,1618441120
São Paulo de Olivença,BR,-3.3783,-68.8725,297.5,89,95,0.71,1618441120
San Policarpo,PH,12.1791,125.5072,300.04,82,100,2.25,1618441121
Bukama,CD,-9.2,25.85,293.36,96,100,1.06,1618441121
Contamana,PE,-7.3333,-75.0167,297.25,94,100,0.28,1618441121
Nāravārikuppam,IN,13.1956,80.1742,300.15,89,40,1.03,1618441122
Husavik,IS,66.0449,-17.3389,280.15,65,75,3.6,1618441034
Kumul,CN,42.8,93.45,280.06,17,0,6.63,1618441122
Saint Paul Harbor,US,57.79,-152.4072,280.15,57,90,1.54,1618441123
Flinders,AU,-34.5833,150.8552,290.93,66,11,0.45,1618441114
Tuatapere,NZ,-46.1333,167.6833,287.59,86,54,3.13,1618441123
Upington,ZA,-28.4478,21.2561,294.15,35,2,2.06,1618440845
Beyneu,KZ,45.3167,55.2,287.79,41,6,6.31,1618441123
Bulawayo,ZW,-20.15,28.5833,287.69,56,0,2.46,1618441124
Okakarara,NA,-20.5833,17.4333,287.81,42,0,1.66,1618441124
Guisa,CU,20.255,-76.5386,301.15,54,20,8.23,1618441125
Narsaq,GL,60.9167,-46.05,276.15,65,20,0.49,1618440881
Mayumba,GA,-3.432,10.6554,299.48,86,96,3.86,1618441125
